Geni id,Geni profile name,BH database URL,BH theme,BH floor,BH location,Wikipedia URL
profile-93559889,Rudolf Serkin,,Classical Music,,,
profile-110953597,Felix Mendelssohn Bartholdy,,Classical Music,,,
profile-34625689319,Vladimir Samoylovich Horowitz,,Classical Music,,,
profile-34660630292,Emanuel Ax,,Classical Music,,,
profile-112001662,Jascha Heifetz,,Classical Music,,,
profile-34662189257,Isaac Stern,,Classical Music,,,
profile-34663834916,Itzhak Perlman,,Classical Music,,,
profile-8117110,"Yehudi Menuhin, OM, KBE",,Classical Music,,,
profile-112202516,Bronislaw Huberman,,Classical Music,,,
profile-111041471,Mischa Elman,,Classical Music,,,
profile-3803357,David Fyodorovich Oistrakh,,Classical Music,,,
profile-112083400,Daniel Barenboim,,Classical Music,,,
profile-34665074674,Stephen Michael Reich,,Classical Music,,,
profile-34667043227,Anton Grigorevich Rubinstein,,Classical Music,,,
profile-110992265,Erich Wolfgang Korngold,,Classical Music,,,
profile-34644466801,Aaron Copland,,Classical Music,,,
profile-86792535,Giacomo Meyer Meyerbeer,,Classical Music,,,
profile-25558562,Philip Morris Glass,,Classical Music,,,
profile-34627593744,Ernest Bloch,,Classical Music,,,
profile-12926691,Jacques Offenbach,,Classical Music,,,
profile-90975407,Mark Rothko,,Plastic Art,,,
profile-34665452662,Tristan Tzara (Samuel Rosenstock),,Plastic Art,,,
profile-71012181,Lucian Michael Freud,,Plastic Art,,,
profile-74174257,Camille Pissarro,,Plastic Art,,,
profile-40883186,Chaim Soutine,,Plastic Art,,,
profile-13822570,Amedeo Clemente di Flaminio Modigliani,,Plastic Art,,,
profile-94759792,Joe Slovo,,Diplomacy,,,
profile-53176953,"Jay Benjamin Hecht, Sr.",,,,,
profile-34720591736,Isaac Levitan,,Plastic Art,,,
profile-34665887225,Roy Fox Lichtenstein,,Plastic Art,,,
profile-34656049654,Marcel Janco,,Plastic Art,,,
profile-34647847411,Moritz Daniel Oppenheim,,Plastic Art,,,
profile-34643262651,Jacov Agam,,Plastic Art,,,
profile-46793587,Siegfried Lorraine Sassoon,,Literature & Poetry,,,
profile-74056056,Arthur Schnitzler,,Literature & Poetry,,,
profile-121300901,Gertrude Stein,,Literature & Poetry,,,
profile-34723037319,Danilo Kis,,Literature & Poetry,,,
profile-34674579448,Bruno Schulz,,Literature & Poetry,,,
profile-41302245,Joseph Roth,,Literature & Poetry,,,
profile-34621939802,"Imre Kertész, Nobel Prize in Literature 2002",,Literature & Poetry,,,
profile-101689938,Karl Kraus,,Literature & Poetry,,,
profile-20743522,Bennett Alfred Cerf,,Literature & Poetry,,,
profile-34670367434,Jerzy Nikodem Kosiński,,,,,
profile-34627321565,Arthur Koestler,,Literature & Poetry,,,
profile-73441460,"Elias Salomon Canetti, Nobel Prize in Literature, 1981",,Literature & Poetry,,,
profile-34632668167,Arnold Zweig,,Literature & Poetry,,,
profile-14589378,Marcel Proust,,Literature & Poetry,,,
profile-34626757657,Yehuda Otto Amichai,,Literature & Poetry,,,
profile-43085311,Dr. Lion Jacob Arje Feuchtwanger,,Literature & Poetry,,,
profile-112096892,Chaim (Herman Harold) Potok,,Literature & Poetry,,,
profile-34649104161,J. D. Salinger,,Literature & Poetry,,,
profile-34693997666,Shel Silverstein,,Literature & Poetry,,,
profile-34657534047,Erich Wolf Segal,,Literature & Poetry,,,
profile-34677459638,"Dr. Oliver Wolf Sacks, CBE",,Literature & Poetry,,,
profile-17983383,Bernard Malamud,,Literature & Poetry,,,
profile-66172242,Norman Mailer,,Literature & Poetry,,,
profile-34709612651,Elsa Moravia,,Literature & Poetry,,,
profile-34636100498,"Émile Herzog, alias André Maurois",,Literature & Poetry,,,
profile-34665273240,"Patrick Modiano, Nobel Prize in literature. 2014",,Literature & Poetry,,,
profile-34655625037,Osip Emilyevich Mandelstam,,Literature & Poetry,,,
profile-5082739,Klaus Mann,,Literature & Poetry,,,
profile-34666308388,Albert Cohen,,Literature & Poetry,,,
profile-34673922800,Stanisław Herman Lem,,Literature & Poetry,,,
profile-24083130293,Else (Elisabeth) Lasker-Schüler,,Literature & Poetry,,,
profile-34628656494,Primo Levi,,Literature & Poetry,,,
profile-34662697596,Leon Marcus Uris,,Literature & Poetry,,,
profile-34621484495,"Nelly Sachs, Nobel Prize in Literature, 1966",,Literature & Poetry,,,
profile-129084462,Felix Sigmund Salten,,Literature & Poetry,,,
