Geni id,Geni profile name,BH database URL,Ushi,BH theme,BH floor,BH location,,Wikipedia URL,Notes,RANDY,,
profile-72655971,Harry Warner,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי? ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-8977197293,Harvey Keitel,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-86989337,Jake Gyllenhaal,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-103174266,James Caan,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34658942019,James Franco,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34757839162,James Lawrence Brooks,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34624349777,James Lipton,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-54634787,Jamie Lee Curtis,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-129367752,Jean-Pierre Melville,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34625633749,Jeff Goldblum,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-115696782,Jenji Kohan,,,Cinema & Television,3,Jews in World Culture and Science,,https://en.wikipedia.org/wiki/Jenji_Kohan,,,,
profile-34662339646,Jeremy Piven,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34680484266,Jesse Eisenberg,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34684425462,John Schlesinger,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34665873273,Joseph Leo Mankiewicz,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-13398368,Judy Holliday,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-116549961,Jules Dassin,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-72785338,Kirk Douglas,,"יהודים בתרבות העולם, קיר ירמי פינקוס",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-6591394,Lauren Bacall,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34698871188,Lawrence Kasdan,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34664051274,Lena Dunham,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-111480857,Leonard Nimoy,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34681313754,Leslie Howard,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34625850305,Lorne Michaels,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34658717715,Madeline Kahn,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-86989449,Maggie Gyllenhaal,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-29582256,Marilyn Monroe,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34664390365,Martin Landau,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-87782496,Michael Curtiz,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-72785356,Michael Douglas,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34677488648,Michael Mann,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-2836899,Mike Leigh,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34633285263,Mike Nichols,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34662355325,Mila Kunis,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34656563370,Milton Berle,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34757840442,Moshé Mizrahi,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-100575385,Natalie Portman,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-41560164,Otto Preminger,,"אמנויות הבימה, קולנוע, האם יש בהוליווד קולנוע יהודי? ",Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-23389849,Patrick Bruel,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-33322234,Paul Muni,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-30598598,Paul Newman,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
